PlayerName,Team,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G60,A60,FirstA60,Points60,Shots60,iFenwick60,iCorsi60,IGP,IAP,IPP,Year,Position,Situation
"SEDIN, DANIEL",Vancouver,1064:18:00,15,20,11,35,160,206,261,9.38,0.846,1.127,0.62,1.97,9.02,11.613,14.714,36.6,48.8,85.4,2007,Forward,5v5
"NAGY, LADISLAV",Los Angeles,395:49:00,6,7,3,13,53,75,92,11.32,0.909,1.061,0.455,1.97,8.03,11.369,13.946,33.3,38.9,72.2,2007,Forward,5v5
"MIETTINEN, ANTTI",Dallas,762:48:00,10,15,7,25,110,162,209,9.09,0.787,1.18,0.551,1.97,8.65,12.742,16.439,28.6,42.9,71.4,2007,Forward,5v5
"BRODZIAK, KYLE",Edmonton,794:34:00,13,13,10,26,109,156,194,11.93,0.982,0.982,0.755,1.96,8.23,11.78,14.649,37.1,37.1,74.3,2007,Forward,5v5
"RAYMOND, MASON",Vancouver,458:48:00,8,7,4,15,57,75,98,14.04,1.046,0.915,0.523,1.96,7.45,9.808,12.816,42.1,36.8,79,2007,Forward,5v5
"GRABOVSKI, MIKHAIL",Montreal,245:42:00,3,5,4,8,21,35,48,14.29,0.733,1.221,0.977,1.95,5.13,8.547,11.722,27.3,45.5,72.7,2007,Forward,5v5
"MCDONALD, ANDY",St. Louis,1047:36:00,14,20,10,34,127,174,204,11.02,0.802,1.145,0.573,1.95,7.27,9.966,11.684,34.1,48.8,82.9,2007,Forward,5v5
"VRBATA, RADIM",Phoenix,893:55:00,14,15,6,29,163,201,234,8.59,0.94,1.007,0.403,1.95,10.94,13.491,15.706,35.9,38.5,74.4,2007,Forward,5v5
"NASH, RICK",Columbus,1048:54:00,20,14,10,34,215,278,341,9.3,1.144,0.801,0.572,1.94,12.3,15.902,19.506,51.3,35.9,87.2,2007,Forward,5v5
"LANG, ROBERT",Chicago,988:58:00,12,20,14,32,101,129,152,11.88,0.728,1.213,0.849,1.94,6.13,7.826,9.222,26.7,44.4,71.1,2007,Forward,5v5
"BERTUZZI, TODD",Anaheim,804:54:00,9,17,10,26,87,104,124,10.34,0.671,1.267,0.745,1.94,6.49,7.753,9.243,25.7,48.6,74.3,2007,Forward,5v5
"VOROS, AARON",Minnesota,402:46:00,7,6,5,13,36,47,61,19.44,1.043,0.894,0.745,1.94,5.36,7.002,9.087,43.8,37.5,81.3,2007,Forward,5v5
"JOKINEN, JUSSI",Tampa Bay,805:43:00,9,17,11,26,87,117,158,10.34,0.67,1.266,0.819,1.94,6.48,8.713,11.766,27.3,51.5,78.8,2007,Forward,5v5
